age_range,gender,semester_year,academic_stress,financial_stress,family_stress,career_stress,time_management_stress,relationship_stress,study_motivation,screen_time,family_support,teacher_support,loneliness,semester_break_thought,last_semester_gpa,current_cgpa,class_attendance,study_hours,academic_backlog,result_drop,tuition_pressure,part_time_work_effect,pressure_for_marriage,continue_study_if_married
18–25,Female / নারী,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,Moderate / মাঝারি,1–2 hours / ১–২ ঘণ্টা,Strongly agree / সম্পূর্ণ সম্মত,Strongly agree / সম্পূর্ণ সম্মত,Neutral / নিরপেক্ষ,Rarely / খুব কম,3.50–4.00,3.50–4.00,75%–89%,More than 4 hours / ৪ ঘণ্টার বেশি,No,No / না,Low pressure / কম চাপ,"Yes, but it does not affect my study / করি, তবে পড়াশোনায় প্রভাব ফেলে না",No pressure,Probably continue
18–25,Female / নারী,7th semester / 4th year / ৭ম সেমিস্টার / ৪র্থ বর্ষ,সামান্য/নেই,মাঝারি,মাঝারি,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,Moderate / মাঝারি,4–6 hours / ৪–৬ ঘণ্টা,Agree / সম্মত,Disagree / অসম্মত,Strongly agree / সম্পূর্ণ সম্মত,Sometimes / মাঝে মাঝে,3.00–3.49,Below 2.00 / ২.০০ এর নিচে,65%–74%,1–2 hours / ১–২ ঘণ্টা,Yes,"Yes, significantly / হ্যাঁ, অনেক কমেছে",Very high pressure / খুব বেশি চাপ,"Yes, it highly affects my study / করি, অনেক বেশি প্রভাব ফেলে",No pressure,Definitely discontinue
18–25,Female / নারী,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,সামান্য/নেই,মাঝারি,বেশি,মাঝারি,সামান্য/নেই,বেশি,High / বেশি,1–2 hours / ১–২ ঘণ্টা,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,No / না,3.50–4.00,3.00–3.49,75%–89%,2–4 hours / ২–৪ ঘণ্টা,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Moderate pressure / মাঝারি চাপ,"Yes, it slightly affects my study / করি, সামান্য প্রভাব ফেলে",Moderate pressure,Not sure
18–25,Male / পুরুষ,8th semester or above / ৮ম সেমিস্টার বা এর বেশি,সামান্য/নেই,মাঝারি,বেশি,বেশি,সামান্য/নেই,বেশি,Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Sometimes / মাঝে মাঝে,2.50–2.99,3.50–4.00,65%–74%,More than 4 hours / ৪ ঘণ্টার বেশি,Yes,No / না,High pressure / বেশি চাপ,"Yes, it slightly affects my study / করি, সামান্য প্রভাব ফেলে",High pressure,Definitely continue
18–25,Female / নারী,4th semester / ৪র্থ সেমিস্টার,মাঝারি,মাঝারি,বেশি,বেশি,সামান্য/নেই,বেশি,High / বেশি,2–4 hours / ২–৪ ঘণ্টা,Agree / সম্মত,Neutral / নিরপেক্ষ,Strongly agree / সম্পূর্ণ সম্মত,Rarely / খুব কম,3.00–3.49,2.50–2.99,50%–64%,Less than 1 hour / ১ ঘণ্টার কম,Yes,"Yes, significantly / হ্যাঁ, অনেক কমেছে",Low pressure / কম চাপ,"Yes, it moderately affects my study / করি, মাঝারি প্রভাব ফেলে",Very high pressure,Probably continue
18–25,Female / নারী,6th semester / ৬ষ্ঠ সেমিস্টার,সামান্য/নেই,মাঝারি,মাঝারি,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,Low / কম,1–2 hours / ১–২ ঘণ্টা,Agree / সম্মত,Strongly agree / সম্পূর্ণ সম্মত,Neutral / নিরপেক্ষ,Often / প্রায়ই,3.00–3.49,2.50–2.99,65%–74%,1–2 hours / ১–২ ঘণ্টা,Yes,Not sure / নিশ্চিত নই,No pressure / কোনো চাপ নেই,"Yes, it slightly affects my study / করি, সামান্য প্রভাব ফেলে",High pressure,Probably discontinue
18–25,Male / পুরুষ,7th semester / 4th year / ৭ম সেমিস্টার / ৪র্থ বর্ষ,সামান্য/নেই,মাঝারি,বেশি,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,Low / কম,More than 6 hours / ৬ ঘণ্টার বেশি,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Sometimes / মাঝে মাঝে,3.00–3.49,3.50–4.00,65%–74%,1–2 hours / ১–২ ঘণ্টা,Yes,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Very high pressure / খুব বেশি চাপ,"Yes, it highly affects my study / করি, অনেক বেশি প্রভাব ফেলে",No pressure,Definitely continue
18–25,Male / পুরুষ,4th semester / ৪র্থ সেমিস্টার,বেশি,বেশি,বেশি,বেশি,বেশি,বেশি,Very low / খুব কম,More than 6 hours / ৬ ঘণ্টার বেশি,Strongly disagree / সম্পূর্ণ অসম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,Strongly agree / সম্পূর্ণ সম্মত,"Yes, seriously / হ্যাঁ, সিরিয়াসলি",Below 2.00 / ২.০০ এর নিচে,Below 2.00 / ২.০০ এর নিচে,Below 50% / ৫০% এর কম,Less than 1 hour / ১ ঘণ্টার কম,Yes,"Yes, significantly / হ্যাঁ, অনেক কমেছে",Very high pressure / খুব বেশি চাপ,"Yes, it highly affects my study / করি, অনেক বেশি প্রভাব ফেলে",High pressure,Not sure
18–25,Female / নারী,5th semester / 3rd year / ৫ম সেমিস্টার / ৩য় বর্ষ,সামান্য/নেই,মাঝারি,মাঝারি,বেশি,বেশি,বেশি,Moderate / মাঝারি,4–6 hours / ৪–৬ ঘণ্টা,Neutral / নিরপেক্ষ,Agree / সম্মত,Neutral / নিরপেক্ষ,Sometimes / মাঝে মাঝে,2.50–2.99,2.50–2.99,65%–74%,1–2 hours / ১–২ ঘণ্টা,Yes,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",High pressure / বেশি চাপ,"Yes, it moderately affects my study / করি, মাঝারি প্রভাব ফেলে",No pressure,Probably continue
18–25,Male / পুরুষ,6th semester / ৬ষ্ঠ সেমিস্টার,সামান্য/নেই,মাঝারি,মাঝারি,সামান্য/নেই,মাঝারি,মাঝারি,High / বেশি,2–4 hours / ২–৪ ঘণ্টা,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Disagree / অসম্মত,"Yes, seriously / হ্যাঁ, সিরিয়াসলি",2.50–2.99,3.00–3.49,65%–74%,2–4 hours / ২–৪ ঘণ্টা,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Moderate pressure / মাঝারি চাপ,"Yes, but it does not affect my study / করি, তবে পড়াশোনায় প্রভাব ফেলে না",Very high pressure,Definitely discontinue
18–25,Female / নারী,6th semester / ৬ষ্ঠ সেমিস্টার,সামান্য/নেই,মাঝারি,বেশি,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,Very low / খুব কম,2–4 hours / ২–৪ ঘণ্টা,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Often / প্রায়ই,2.50–2.99,3.00–3.49,65%–74%,1–2 hours / ১–২ ঘণ্টা,Yes,No / না,Moderate pressure / মাঝারি চাপ,"Yes, it highly affects my study / করি, অনেক বেশি প্রভাব ফেলে",Very high pressure,Probably continue
18–25,Male / পুরুষ,5th semester / 3rd year / ৫ম সেমিস্টার / ৩য় বর্ষ,মাঝারি,মাঝারি,মাঝারি,মাঝারি,মাঝারি,বেশি,High / বেশি,2–4 hours / ২–৪ ঘণ্টা,Neutral / নিরপেক্ষ,Agree / সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,"Yes, seriously / হ্যাঁ, সিরিয়াসলি",3.00–3.49,3.00–3.49,75%–89%,2–4 hours / ২–৪ ঘণ্টা,Yes,Not sure / নিশ্চিত নই,Moderate pressure / মাঝারি চাপ,"Yes, it moderately affects my study / করি, মাঝারি প্রভাব ফেলে",Very high pressure,Not sure
18–25,Male / পুরুষ,5th semester / 3rd year / ৫ম সেমিস্টার / ৩য় বর্ষ,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,মাঝারি,মাঝারি,মাঝারি,High / বেশি,1–2 hours / ১–২ ঘণ্টা,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Agree / সম্মত,Sometimes / মাঝে মাঝে,3.00–3.49,2.50–2.99,Below 50% / ৫০% এর কম,2–4 hours / ২–৪ ঘণ্টা,Yes,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Moderate pressure / মাঝারি চাপ,"Yes, it slightly affects my study / করি, সামান্য প্রভাব ফেলে",No pressure,Definitely continue
